,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
0,movie,dick johnson is dead,kirsten johnson,unknown,united states,25-sep-21,2020,pg-13,90,documentaries,"as her father nears the end of his life, filmmaker kirsten johnson stages his death in inventive and comical ways to help them both face the inevitable."
1,tv show,blood & water,unknown,"ama qamata, khosi ngema, gail mabalane, thabang molaba, dillon windvogel, natasha thahane, arno greeff, xolile tshabalala, getmore sithole, cindy mahlangu, ryle de morny, greteli fincham, sello maake ka-ncube, odwa gwanya, mekaila mathys, sandi schultz, duane williams, shamilla miller, patrick mofokeng",south africa,24-sep-21,2021,tv-ma,180,"international tv shows, tv dramas, tv mysteries","after crossing paths at a party, a cape town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth."
2,tv show,ganglands,julien leclercq,"sami bouajila, tracy gotoas, samuel jouy, nabiha akkari, sofia lesaffre, salim kechiouche, noureddine farihi, geert van rampelberg, bakary diombera",unknown,24-sep-21,2021,tv-ma,360,"crime tv shows, international tv shows, tv action & adventure","to protect his family from a powerful drug lord, skilled thief mehdi and his expert team of robbers are pulled into a violent and deadly turf war."
3,tv show,jailbirds new orleans,unknown,unknown,unknown,24-sep-21,2021,tv-ma,360,"docuseries, reality tv","feuds, flirtations and toilet talk go down among the incarcerated women at the orleans justice center in new orleans on this gritty reality series."
4,tv show,kota factory,unknown,"mayur more, jitendra kumar, ranjan raj, alam khan, ahsaas channa, revathi pillai, urvi singh, arun kumar",india,24-sep-21,2021,tv-ma,180,"international tv shows, romantic tv shows, tv comedies","in a city of coaching centers known to train india’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life."
5,tv show,midnight mass,mike flanagan,"kate siegel, zach gilford, hamish linklater, henry thomas, kristin lehman, samantha sloyan, igby rigney, rahul kohli, annarah cymone, annabeth gish, alex essoe, rahul abburi, matt biedel, michael trucco, crystal balint, louis oliver",unknown,24-sep-21,2021,tv-ma,360,"tv dramas, tv horror, tv mysteries","the arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe."
6,movie,my little pony: a new generation,"robert cullen, josé luis ucha","vanessa hudgens, kimiko glenn, james marsden, sofia carson, liza koshy, ken jeong, elizabeth perkins, jane krakowski, michael mckean, phil lamarr",unknown,24-sep-21,2021,pg,91,children & family movies,"equestria's divided. but a bright-eyed hero believes earth ponies, pegasi and unicorns should be pals — and, hoof to heart, she’s determined to prove it."
7,movie,sankofa,haile gerima,"kofi ghanaba, oyafunmike ogunlano, alexandra duah, nick medley, mutabaruka, afemo omilami, reggie carter, mzuri","united states, ghana, burkina faso, united kingdom, germany, ethiopia",24-sep-21,1993,tv-ma,125,"dramas, independent movies, international movies","on a photo shoot in ghana, an american model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past."
8,tv show,the great british baking show,andy devonshire,"mel giedroyc, sue perkins, mary berry, paul hollywood",united kingdom,24-sep-21,2021,tv-14,1620,"british tv shows, reality tv","a talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the u.k.'s best."
9,movie,the starling,theodore melfi,"melissa mccarthy, chris o'dowd, kevin kline, timothy olyphant, daveed diggs, skyler gisondo, laura harrier, rosalind chao, kimberly quinn, loretta devine, ravi kapoor",united states,24-sep-21,2021,pg-13,104,"comedies, dramas",a woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
10,tv show,"vendetta: truth, lies and the mafia",unknown,unknown,unknown,24-sep-21,2021,tv-ma,360,"crime tv shows, docuseries, international tv shows","sicily boasts a bold ""anti-mafia"" coalition. but what happens when those trying to bring down organized crime are accused of being criminals themselves?"
11,tv show,bangkok breaking,kongkiat komesiri,"sukollawat kanarot, sushar manaying, pavarit mongkolpisit, sahajak boonthanakit, suthipongse thatphithakkul, bhasaworn bawronkirati, daweerit chullasapya, waratthaya wongchayaporn, kittiphoom wongpentak, abhicha thanachanun, nophand boonyai, kittipong khamsat, arisara wongchalee, jaytiya naiwattanakul, pantipa arunwattanachai, panupan jantanawong, kungtap saelim, phumphat chartsuriyakiat, issara veranitinunt, keerati sivakuae, panjai sirisuwan, supranee charoenpol, suda chuenban, visaka banhansupavat, pitchatorn santinatornkul",unknown,23-sep-21,2021,tv-ma,360,"crime tv shows, international tv shows, tv action & adventure","struggling to earn a living in bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy."
12,movie,je suis karl,christian schwochow,"luna wedler, jannis niewöhner, milan peschel, edin hasanović, anna fialová, marlon boess, victor boccard, fleur geffrier, aziz dyab, mélanie fouché, elizaveta maximová","germany, czech republic",23-sep-21,2021,tv-ma,127,"dramas, international movies","after most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
13,movie,confessions of an invisible girl,bruno garotti,"klara castanho, lucca picon, júlia gomes, marcus bessa, kiria malheiros, fernanda concon, gabriel lima, caio cabral, leonardo cidade, jade cardozo",unknown,22-sep-21,2021,tv-pg,91,"children & family movies, comedies","when the clever but socially-awkward tetê joins a new school, she'll do anything to fit in. but the queen bee among her classmates has other ideas."
14,tv show,crime stories: india detectives,unknown,unknown,unknown,22-sep-21,2021,tv-ma,360,"british tv shows, crime tv shows, docuseries",cameras following bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.
15,tv show,dear white people,unknown,"logan browning, brandon p. bell, deron horton, antoinette robertson, john patrick amedori, ashley blaine featherson, marque richardson, giancarlo esposito",united states,22-sep-21,2021,tv-ma,720,"tv comedies, tv dramas","students of color navigate the daily slights and slippery politics of life at an ivy league college that's not nearly as ""post-racial"" as it thinks."
16,movie,europe's most dangerous man: otto skorzeny in spain,"pedro de echave garcía, pablo azorín williams",unknown,unknown,22-sep-21,2020,tv-ma,67,"documentaries, international movies","declassified documents reveal the post-wwii life of otto skorzeny, a close hitler ally who escaped to spain and became an adviser to world presidents."
17,tv show,falsa identidad,unknown,"luis ernesto franco, camila sodi, sergio goyri, samadhi zendejas, eduardo yáñez, sonya smith, alejandro camacho, azela robinson, uriel del toro, géraldine bazán, gabriela roel, marcus ornellas",mexico,22-sep-21,2020,tv-ma,180,"crime tv shows, spanish-language tv shows, tv dramas",strangers diego and isabel flee their home in mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.
18,movie,intrusion,adam salky,"freida pinto, logan marshall-green, robert john burke, megan elisabeth kelly, sarah minnich, hayes hargrove, mark sivertsen, brandon fierro, antonio valles, clint obenchain",unknown,22-sep-21,2021,tv-14,94,thrillers,"after a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning."
19,tv show,jaguar,unknown,"blanca suárez, iván marcos, óscar casas, adrián lastra, francesc garrido, stefan weinert, julia möller, alicia chojnowski",unknown,22-sep-21,2021,tv-ma,360,"international tv shows, spanish-language tv shows, tv action & adventure","in the 1960s, a holocaust survivor joins a group of self-trained spies who seek justice against nazis fleeing to spain to hide after wwii."
20,tv show,monsters inside: the 24 faces of billy milligan,olivier megaton,unknown,unknown,22-sep-21,2021,tv-14,360,"crime tv shows, docuseries, international tv shows","in the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates america."
21,tv show,resurrection: ertugrul,unknown,"engin altan düzyatan, serdar gökhan, hülya darcan, kaan taşaner, esra bilgiç, osman soykut, serdar deniz, cengiz coşkun, reshad strik, hande subaşı",turkey,22-sep-21,2018,tv-14,900,"international tv shows, tv action & adventure, tv dramas","when a good deed unwittingly endangers his clan, a 13th-century turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land."
22,movie,avvai shanmughi,k.s. ravikumar,"kamal hassan, meena, gemini ganesan, heera rajgopal, nassar, s.p. balasubrahmanyam",unknown,21-sep-21,1996,tv-pg,161,"comedies, international movies","newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her."
23,movie,go! go! cory carson: chrissy takes the wheel,"alex woo, stanley moore","maisie benson, paul killam, kerry gudjohnsen, ac lim",unknown,21-sep-21,2021,tv-y,61,children & family movies,"from arcade games to sled days and hiccup cures, cory carson’s curious little sister chrissy speeds off on her own for fun and adventure all over town!"
24,movie,jeans,s. shankar,"prashanth, aishwarya rai bachchan, sri lakshmi, nassar",india,21-sep-21,1998,tv-14,166,"comedies, international movies, romantic movies","when the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."
25,tv show,love on the spectrum,unknown,brooke satchwell,australia,21-sep-21,2021,tv-14,180,"docuseries, international tv shows, reality tv","finding love can be hard for anyone. for young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated."
26,movie,minsara kanavu,rajiv menon,"arvind swamy, kajol, prabhu deva, nassar, s.p. balasubrahmanyam, girish karnad",unknown,21-sep-21,1997,tv-pg,147,"comedies, international movies, music & musicals",a tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.
27,movie,grown ups,dennis dugan,"adam sandler, kevin james, chris rock, david spade, rob schneider, salma hayek, maria bello, maya rudolph, colin quinn, tim meadows, joyce van patten",united states,20-sep-21,2010,pg-13,103,comedies,"mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
28,movie,dark skies,scott stewart,"keri russell, josh hamilton, j.k. simmons, dakota goyo, kadan rockett, l.j. benet, rich hutchman, myndy crist, annie thurman, jake brennan",united states,19-sep-21,2013,pg-13,97,"horror movies, sci-fi & fantasy","a family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."
29,movie,paranoia,robert luketic,"liam hemsworth, gary oldman, amber heard, harrison ford, lucas till, embeth davidtz, julian mcmahon, josh holloway, richard dreyfuss, angela sarafyan","united states, india, france",19-sep-21,2013,pg-13,106,thrillers,"blackmailed by his company's ceo, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
30,movie,ankahi kahaniya,"ashwiny iyer tiwari, abhishek chaubey, saket chaudhary","abhishek banerjee, rinku rajguru, delzad hiwale, kunal kapoor, zoya hussain, nikhil dwivedi, palomi ghosh",unknown,17-sep-21,2021,tv-14,111,"dramas, independent movies, international movies","as big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing."
31,tv show,chicago party aunt,unknown,"lauren ash, rory o'malley, rupaul charles, jill talley, ike barinholtz, jon barinholtz, matthew craig, bob odenkirk, mike hagerty, katie rich, chris witaske",unknown,17-sep-21,2021,tv-ma,360,tv comedies,chicago party aunt diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.
